source,title,artist,tags,bpm,first_beat,samplerate
https://cdn.pixabay.com/audio/2025/08/30/audio_00ae00f400.mp3,"The Last Point (Beat, Electronic, Digital)",raspberrymusic,"Abstract, Advanced, Advertising, App",135.0,5923,48000.0
https://cdn.pixabay.com/audio/2023/05/09/audio_3dc71287de.mp3,A call to the soul,folk_acoustic_music,"Folk, Acoustic, Guitar, Ambient, Nature",100.0,26070,44100.0
https://cdn.pixabay.com/audio/2023/09/13/audio_ee2221f74c.mp3,A Long Way,SergePavkinMusic,Link to the track in the Facebook/Instagram audio library: https://www.instagram.com/reels/audio/307037625240949/,120.0,1405,44100.0
https://cdn.pixabay.com/audio/2023/01/06/audio_d74b2d0ff4.mp3,A Small Miracle,Romarecord1973,"Acoustic, Ukulele, Light, Mellow, Serene",108.0,4313,44100.0
https://cdn.pixabay.com/audio/2022/12/27/audio_d6b5851a2b.mp3,Abstract Fashion Pop_Rails,QubeSounds,"Beat, Calmness, Cold, Cooled",105.0,25057,44100.0
https://cdn.pixabay.com/audio/2023/08/16/audio_1486f7cd39.mp3,Abstract Future Bass_Pursit,QubeSounds,"Annotation, Bass, Deep, Dramatic",129.0,2589,44100.0
https://cdn.pixabay.com/audio/2025/02/03/audio_502e27ab2b.mp3,Alone,BoDleasons,"Future Bass, Dance, Festive, Edm",150.0,-29,44100.0
https://cdn.pixabay.com/audio/2024/06/14/audio_0e2636099d.mp3,AMALGAM,Rockot,"Amalgam, Electronic, Orchestral, House",110.0,14921,44100.0
https://cdn.pixabay.com/audio/2023/09/30/audio_bd797ed8d0.mp3,Baby Mandala | Nepalese Drill Music,kontraa,"Uk Drill, Drill Type Beat",71.5,38027,44100.0
https://cdn.pixabay.com/audio/2025/12/12/audio_1a5c36d8e1.mp3,Background Music For Video,DELOSound,Background Music For Video,90.0,29303,22050.0
https://cdn.pixabay.com/audio/2025/11/11/audio_f2cf114879.mp3,Background Music,DELOSound,"Background Music, Background, Background Video",81.0,160,22050.0
https://cdn.pixabay.com/audio/2025/12/05/audio_9fcb027faa.mp3,Background Music,NastelBom,Background Music,120.0,-54,22050.0
https://cdn.pixabay.com/audio/2023/07/22/audio_79e285e137.mp3,Background Music,The_Mountain,"Background Music, Background Music Soft",120.0,21967,22050.0
